Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
12/18/2017 09:00,CENTRL,61754,32.3,0.13,-0.24
12/18/2017 09:00,DUNWOD,61760,37.0,3.61,-1.46
12/18/2017 09:00,GENESE,61753,31.02,-1.09,-0.17
12/18/2017 09:00,H Q,61844,31.11,-0.83,0.0
12/18/2017 09:00,HUD VL,61758,36.55,3.16,-1.45
12/18/2017 09:00,LONGIL,61762,73.12,4.5,-36.68
12/18/2017 09:00,MHK VL,61756,33.27,1.12,-0.22
12/18/2017 09:00,MILLWD,61759,37.11,3.7,-1.48
12/18/2017 09:00,N.Y.C.,61761,38.45,3.96,-2.55
12/18/2017 09:00,NORTH,61755,31.04,-0.89,0.0
12/18/2017 09:00,NPX,61845,56.34,2.81,-21.59
12/18/2017 09:00,O H,61846,30.12,-2.04,-0.23
12/18/2017 09:00,PJM,61847,34.23,1.21,-1.08
12/18/2017 09:00,WEST,61752,30.98,-1.18,-0.22
12/18/2017 10:00,CAPITL,61757,34.47,2.2,-0.43
12/18/2017 10:00,CENTRL,61754,32.05,0.16,-0.05
12/18/2017 10:00,DUNWOD,61760,35.74,3.6,-0.3
12/18/2017 10:00,GENESE,61753,30.79,-1.08,-0.04
12/18/2017 10:00,H Q,61844,31.01,-0.83,0.0
12/18/2017 10:00,HUD VL,61758,35.29,3.15,-0.3
12/18/2017 10:00,LONGIL,61762,56.42,4.4,-20.18
12/18/2017 10:00,MHK VL,61756,33.0,1.11,-0.05
12/18/2017 10:00,MILLWD,61759,35.87,3.72,-0.31
12/18/2017 10:00,N.Y.C.,61761,37.81,3.95,-2.02
12/18/2017 10:00,NORTH,61755,30.95,-0.89,0.0
12/18/2017 10:00,NPX,61845,56.02,2.8,-21.38
12/18/2017 10:00,O H,61846,29.79,-2.1,-0.05
12/18/2017 10:00,PJM,61847,33.55,1.21,-0.5
12/18/2017 10:00,WEST,61752,30.64,-1.24,-0.05
12/18/2017 11:00,CAPITL,61757,33.54,2.16,0.0
12/18/2017 11:00,CENTRL,61754,31.56,0.19,0.0
12/18/2017 11:00,DUNWOD,61760,34.92,3.54,0.0
12/18/2017 11:00,GENESE,61753,30.5,-0.88,0.0
12/18/2017 11:00,H Q,61844,30.5,-0.88,0.0
12/18/2017 11:00,HUD VL,61758,34.51,3.14,0.0
12/18/2017 11:00,LONGIL,61762,62.07,4.33,-26.37
12/18/2017 11:00,MHK VL,61756,32.5,1.13,0.0
12/18/2017 11:00,MILLWD,61759,35.07,3.7,0.0
12/18/2017 11:00,N.Y.C.,61761,36.99,3.92,-1.69
12/18/2017 11:00,NORTH,61755,30.43,-0.94,0.0
12/18/2017 11:00,NPX,61845,54.45,2.79,-20.28
12/18/2017 11:00,O H,61846,29.59,-1.79,0.0
12/18/2017 11:00,PJM,61847,32.93,1.29,-0.27
12/18/2017 11:00,WEST,61752,30.5,-0.88,0.0
12/18/2017 12:00,CAPITL,61757,32.59,2.1,0.0
12/18/2017 12:00,CENTRL,61754,30.61,0.12,0.0
12/18/2017 12:00,DUNWOD,61760,33.9,3.41,0.0
12/18/2017 12:00,GENESE,61753,29.58,-0.91,0.0
12/18/2017 12:00,H Q,61844,29.67,-0.82,0.0
12/18/2017 12:00,HUD VL,61758,33.54,3.05,0.0
12/18/2017 12:00,LONGIL,61762,53.43,4.18,-18.76
12/18/2017 12:00,MHK VL,61756,31.56,1.07,0.0
12/18/2017 12:00,MILLWD,61759,34.0,3.5,0.0
12/18/2017 12:00,N.Y.C.,61761,35.39,3.78,-1.12
12/18/2017 12:00,NORTH,61755,29.55,-0.95,0.0
12/18/2017 12:00,NPX,61845,49.87,2.71,-16.67
12/18/2017 12:00,O H,61846,28.69,-1.8,0.0
12/18/2017 12:00,PJM,61847,31.71,1.22,0.0
12/18/2017 12:00,WEST,61752,29.58,-0.91,0.0
12/18/2017 13:00,CAPITL,61757,33.75,1.88,-4.93
12/18/2017 13:00,CENTRL,61754,27.89,0.38,-0.57
12/18/2017 13:00,DUNWOD,61760,33.56,3.15,-3.47
12/18/2017 13:00,GENESE,61753,26.91,-0.43,-0.4
12/18/2017 13:00,H Q,61844,26.02,-0.92,0.0
12/18/2017 13:00,HUD VL,61758,33.19,2.8,-3.45
12/18/2017 13:00,LONGIL,61762,53.02,3.85,-22.23
12/18/2017 13:00,MHK VL,61756,28.42,0.97,-0.52
12/18/2017 13:00,MILLWD,61759,33.6,3.15,-3.52
12/18/2017 13:00,N.Y.C.,61761,35.11,3.48,-4.7
12/18/2017 13:00,NORTH,61755,25.78,-1.16,0.0
12/18/2017 13:00,NPX,61845,49.17,2.48,-19.76
12/18/2017 13:00,O H,61846,26.43,-1.05,-0.55
12/18/2017 13:00,PJM,61847,30.49,1.37,-2.18
12/18/2017 13:00,WEST,61752,27.22,-0.24,-0.53
12/18/2017 14:00,CAPITL,61757,32.38,2.01,-0.9
12/18/2017 14:00,CENTRL,61754,29.7,0.12,-0.1
12/18/2017 14:00,DUNWOD,61760,33.41,3.3,-0.63
12/18/2017 14:00,GENESE,61753,28.67,-0.88,-0.07
12/18/2017 14:00,H Q,61844,28.68,-0.79,0.0
12/18/2017 14:00,HUD VL,61758,33.02,2.92,-0.63
12/18/2017 14:00,LONGIL,61762,52.1,4.04,-18.59
12/18/2017 14:00,MHK VL,61756,30.6,1.03,-0.09
12/18/2017 14:00,MILLWD,61759,33.44,3.33,-0.64
12/18/2017 14:00,N.Y.C.,61761,35.02,3.65,-1.89
12/18/2017 14:00,NORTH,61755,28.62,-0.86,0.0
12/18/2017 14:00,NPX,61845,46.69,2.62,-14.59
12/18/2017 14:00,O H,61846,27.81,-1.77,-0.1
12/18/2017 14:00,PJM,61847,31.02,1.15,-0.4
12/18/2017 14:00,WEST,61752,28.63,-0.94,-0.1
12/18/2017 15:00,CAPITL,61757,32.47,2.02,-1.19
12/18/2017 15:00,CENTRL,61754,29.58,0.18,-0.14
12/18/2017 15:00,DUNWOD,61760,33.34,3.25,-0.84
12/18/2017 15:00,GENESE,61753,28.57,-0.79,-0.1
12/18/2017 15:00,H Q,61844,28.47,-0.79,0.0
12/18/2017 15:00,HUD VL,61758,32.96,2.87,-0.83
12/18/2017 15:00,LONGIL,61762,53.66,4.01,-20.39
12/18/2017 15:00,MHK VL,61756,30.41,1.02,-0.12
12/18/2017 15:00,MILLWD,61759,33.41,3.31,-0.85
12/18/2017 15:00,N.Y.C.,61761,34.7,3.6,-1.84
12/18/2017 15:00,NORTH,61755,28.35,-0.91,0.0
12/18/2017 15:00,NPX,61845,51.0,2.63,-19.1
12/18/2017 15:00,O H,61846,27.81,-1.58,-0.13
12/18/2017 15:00,PJM,61847,31.02,1.23,-0.53
12/18/2017 15:00,WEST,61752,28.63,-0.76,-0.13
12/18/2017 16:00,CAPITL,61757,41.56,2.54,0.0
12/18/2017 16:00,CENTRL,61754,38.95,-0.08,0.0
12/18/2017 16:00,DUNWOD,61760,42.89,3.86,0.0
12/18/2017 16:00,GENESE,61753,37.66,-1.37,0.0
12/18/2017 16:00,H Q,61844,38.28,-0.74,0.0
12/18/2017 16:00,HUD VL,61758,42.46,3.44,0.0
12/18/2017 16:00,LONGIL,61762,63.61,4.84,-19.74
12/18/2017 16:00,MHK VL,61756,40.35,1.33,0.0
12/18/2017 16:00,MILLWD,61759,43.24,4.22,0.0
12/18/2017 16:00,N.Y.C.,61761,43.32,4.29,0.0
12/18/2017 16:00,NORTH,61755,38.28,-0.74,0.0
12/18/2017 16:00,NPX,61845,65.6,3.12,-23.45
12/18/2017 16:00,O H,61846,36.18,-2.85,0.0
12/18/2017 16:00,PJM,61847,38.19,1.01,1.85
12/18/2017 16:00,WEST,61752,37.27,-1.76,0.0
12/18/2017 17:00,CAPITL,61757,48.39,3.0,0.0
12/18/2017 17:00,CENTRL,61754,45.4,0.0,0.0
12/18/2017 17:00,DUNWOD,61760,49.98,4.58,0.0
12/18/2017 17:00,GENESE,61753,43.94,-1.45,0.0
12/18/2017 17:00,H Q,61844,44.54,-0.86,0.0
12/18/2017 17:00,HUD VL,61758,49.62,4.22,0.0
12/18/2017 17:00,LONGIL,61762,95.84,5.77,-44.68
12/18/2017 17:00,MHK VL,61756,46.99,1.59,0.0
12/18/2017 17:00,MILLWD,61759,50.48,5.08,0.0
12/18/2017 17:00,N.Y.C.,61761,50.48,5.08,0.0
12/18/2017 17:00,NORTH,61755,44.72,-0.68,0.0
12/18/2017 17:00,NPX,61845,80.0,3.68,-30.93
12/18/2017 17:00,O H,61846,42.04,-3.36,0.0
12/18/2017 17:00,PJM,61847,46.3,1.18,0.28
12/18/2017 17:00,WEST,61752,43.31,-2.09,0.0
12/18/2017 18:00,CAPITL,61757,44.82,2.93,0.0
12/18/2017 18:00,CENTRL,61754,42.1,0.21,0.0
12/18/2017 18:00,DUNWOD,61760,46.29,4.4,0.0
12/18/2017 18:00,GENESE,61753,40.8,-1.09,0.0
12/18/2017 18:00,H Q,61844,40.89,-1.01,0.0
12/18/2017 18:00,HUD VL,61758,45.95,4.06,0.0
12/18/2017 18:00,LONGIL,61762,73.61,5.49,-26.23
12/18/2017 18:00,MHK VL,61756,43.44,1.55,0.0
12/18/2017 18:00,MILLWD,61759,46.67,4.77,0.0
12/18/2017 18:00,N.Y.C.,61761,46.75,4.86,0.0
12/18/2017 18:00,NORTH,61755,40.97,-0.92,0.0
12/18/2017 18:00,NPX,61845,80.0,3.56,-34.55
12/18/2017 18:00,O H,61846,39.17,-2.72,0.0
12/18/2017 18:00,PJM,61847,42.1,1.38,1.17
12/18/2017 18:00,WEST,61752,40.3,-1.59,0.0
12/18/2017 19:00,CAPITL,61757,39.54,2.51,-1.24
12/18/2017 19:00,CENTRL,61754,36.12,0.18,-0.14
12/18/2017 19:00,DUNWOD,61760,40.61,3.94,-0.88
12/18/2017 19:00,GENESE,61753,34.97,-0.93,-0.1
12/18/2017 19:00,H Q,61844,34.87,-0.93,0.0
12/18/2017 19:00,HUD VL,61758,40.32,3.65,-0.87
12/18/2017 19:00,LONGIL,61762,65.57,4.9,-24.87
12/18/2017 19:00,MHK VL,61756,37.18,1.25,-0.13
12/18/2017 19:00,MILLWD,61759,40.87,4.19,-0.89
12/18/2017 19:00,N.Y.C.,61761,41.0,4.33,-0.87
12/18/2017 19:00,NORTH,61755,34.87,-0.93,0.0
12/18/2017 19:00,NPX,61845,63.8,3.18,-24.82
12/18/2017 19:00,O H,61846,33.65,-2.29,-0.14
12/18/2017 19:00,PJM,61847,37.64,1.29,-0.55
12/18/2017 19:00,WEST,61752,34.57,-1.36,-0.14
12/18/2017 20:00,CAPITL,61757,35.12,2.22,-0.72
12/18/2017 20:00,CENTRL,61754,32.59,0.32,-0.08
12/18/2017 20:00,DUNWOD,61760,36.32,3.64,-0.51
12/18/2017 20:00,GENESE,61753,31.56,-0.68,-0.06
12/18/2017 20:00,H Q,61844,31.25,-0.93,0.0
12/18/2017 20:00,HUD VL,61758,36.0,3.32,-0.5
12/18/2017 20:00,LONGIL,61762,60.14,4.5,-23.46
12/18/2017 20:00,MHK VL,61756,33.35,1.09,-0.07
12/18/2017 20:00,MILLWD,61759,36.59,3.89,-0.52
12/18/2017 20:00,N.Y.C.,61761,36.73,4.02,-0.53
12/18/2017 20:00,NORTH,61755,31.05,-1.13,0.0
12/18/2017 20:00,NPX,61845,58.0,2.9,-22.92
12/18/2017 20:00,O H,61846,30.52,-1.74,-0.08
12/18/2017 20:00,PJM,61847,33.89,1.38,-0.32
12/18/2017 20:00,WEST,61752,31.32,-0.93,-0.08
12/18/2017 21:00,CAPITL,61757,33.91,1.73,-7.53
12/18/2017 21:00,CENTRL,61754,25.94,0.42,-0.87
12/18/2017 21:00,DUNWOD,61760,32.83,2.86,-5.32
12/18/2017 21:00,GENESE,61753,24.93,-0.35,-0.62
12/18/2017 21:00,H Q,61844,23.82,-0.84,0.0
12/18/2017 21:00,HUD VL,61758,32.56,2.64,-5.27
12/18/2017 21:00,LONGIL,61762,64.0,3.53,-35.82
12/18/2017 21:00,MHK VL,61756,26.23,0.81,-0.77
12/18/2017 21:00,MILLWD,61759,33.0,2.96,-5.39
12/18/2017 21:00,N.Y.C.,61761,33.14,3.16,-5.33
12/18/2017 21:00,NORTH,61755,23.57,-1.08,0.0
12/18/2017 21:00,NPX,61845,50.6,2.29,-23.65
12/18/2017 21:00,O H,61846,24.6,-0.91,-0.85
12/18/2017 21:00,PJM,61847,29.3,1.31,-3.34
12/18/2017 21:00,WEST,61752,25.23,-0.25,-0.82
12/18/2017 22:00,CAPITL,61757,29.27,1.62,-5.14
12/18/2017 22:00,CENTRL,61754,23.47,0.36,-0.59
12/18/2017 22:00,DUNWOD,61760,28.6,2.45,-3.63
12/18/2017 22:00,GENESE,61753,22.64,-0.29,-0.42
12/18/2017 22:00,H Q,61844,21.72,-0.79,0.0
12/18/2017 22:00,HUD VL,61758,28.34,2.23,-3.6
12/18/2017 22:00,LONGIL,61762,45.81,3.11,-20.19
12/18/2017 22:00,MHK VL,61756,23.65,0.61,-0.52
12/18/2017 22:00,MILLWD,61759,28.71,2.52,-3.68
12/18/2017 22:00,N.Y.C.,61761,28.87,2.72,-3.63
12/18/2017 22:00,NORTH,61755,21.43,-1.08,0.0
12/18/2017 22:00,NPX,61845,45.42,2.07,-20.84
